Título,Género,Director,Año,Duración
Titanic,Romance,James Cameron,1997,195 min
El Padrino,Drama,Francis Ford Coppola,1972,175 min
Jurassic Park,Ciencia ficción,Steven Spielberg,1993,127 min
Pulp Fiction,Crimen,Quentin Tarantino,1994,154 min
El Señor de los Anillos: La Comunidad del Anillo,Fantasía,Peter Jackson,2001,178 min
La La Land,Musical,Damien Chazelle,2016,128 min
Matrix,Ciencia ficción,"Lana Wachowski, Lilly Wachowski",1999,136 min
Ciudadano Kane,Drama,Orson Welles,1941,119 min
El Rey León,Animación,"Roger Allers, Rob Minkoff",1994,88 min
El Mago de Oz,Fantasía,Victor Fleming,1939,102 min
